Y	M	D	H	T
2021	1	23	11	21.76
2021	1	23	12	22.57
2021	1	23	13	22.92
2021	1	23	14	22.7
2021	1	23	15	21.77
2021	1	23	16	18.62
2021	1	23	17	15.04
2021	1	23	18	11.9
2021	1	23	19	9.71
2021	1	23	20	9.03
2021	1	23	21	7.76
2021	1	23	22	6.61
2021	1	23	23	5.9
2021	1	24	0	5.46
2021	1	24	1	5.14
2021	1	24	2	4.98
2021	1	24	3	4.86
2021	1	24	4	4.5
2021	1	24	5	4.1
2021	1	24	6	4.83
2021	1	24	7	11.29
2021	1	24	8	16.01
2021	1	24	9	18.95
2021	1	24	10	20.58
2021	1	24	11	21.63
2021	1	24	12	22.19
2021	1	24	13	22.45
2021	1	24	14	22.22
2021	1	24	15	21.33
2021	1	24	16	18.07
2021	1	24	17	14.66
2021	1	24	18	13.73
2021	1	24	19	12.48
2021	1	24	20	10.64
2021	1	24	21	9.05
2021	1	24	22	7.79
2021	1	24	23	6.77
2021	1	25	0	5.99
2021	1	25	1	5.56
2021	1	25	2	5.4
2021	1	25	3	5.49
2021	1	25	4	5.21
2021	1	25	5	5.04
2021	1	25	6	5.77
2021	1	25	7	11.43
2021	1	25	8	15.73
2021	1	25	9	18.53
2021	1	25	10	20.28
2021	1	25	11	21.5
2021	1	25	12	22.37
2021	1	25	13	22.78
2021	1	25	14	22.55
2021	1	25	15	21.57
2021	1	25	16	18.07
2021	1	25	17	13.46
2021	1	25	18	12.22
2021	1	25	19	11.49
2021	1	25	20	10.12
2021	1	25	21	9.09
2021	1	25	22	8.53
2021	1	25	23	8.34
2021	1	26	0	8.27
2021	1	26	1	7.95
2021	1	26	2	7.62
2021	1	26	3	7.36
2021	1	26	4	7.23
2021	1	26	5	6.88
2021	1	26	6	7.37
2021	1	26	7	13.19
2021	1	26	8	17.21
2021	1	26	9	19.53
2021	1	26	10	21.2
2021	1	26	11	22.38
2021	1	26	12	23.05
2021	1	26	13	23.2
2021	1	26	14	22.8
2021	1	26	15	21.82
2021	1	26	16	19.27
2021	1	26	17	14.61
2021	1	26	18	12.67
2021	1	26	19	11.23
2021	1	26	20	10.11
2021	1	26	21	9.23
2021	1	26	22	8.59
2021	1	26	23	8.05
2021	1	27	0	7.52
2021	1	27	1	7.03
2021	1	27	2	6.61
2021	1	27	3	6.32
2021	1	27	4	6.15
2021	1	27	5	6.01
2021	1	27	6	7.17
2021	1	27	7	11.87
2021	1	27	8	16.12
2021	1	27	9	18.56
